descricao,fipeid_marca,,fipeid_modelo,tipoveiculo
AUDI,6,Q6 E-TRON QUATTRO PERF. BLACK (ELÉTRICO),11325,0
AUDI,6,Q6 E-TRON QUATTRO PERFORMANCE (ELÉTRICO),11326,0
AUDI,6,Q7 3.0 V6 TFSI QUAT.TIP.5P/ PERF.(HÍB.),10049,0
AUDI,6,Q7 PERF. BLACK 3.0 TFSI QUAT.TIP.(HÍB.),10050,0
AUDI,6,Q7 S-LINE 3.0 V6 TFSI QUA. TIP. (HÍB.),11297,0
AUDI,6,Q7 S-LINE 3.0 V6 TFSI QUATTRO TIPTRONIC,9205,0
AUDI,6,Q8 E-TRON LAUNCH EDITION (ELÉTRICO),10869,0
AUDI,6,Q8 E-TRON PERFORMANCE BLACK (ELÉTRICO),10870,0
AUDI,6,Q8 E-TRON SPORTB.LAUNCH EDT. (ELÉTRICO),10827,0
AUDI,6,Q8 E-TRON SPORTB. PERF. BLACK (ELÉTRICO),10786,0
AUDI,6,Q8 PERF.BLACK 3.0 TFSI QUAT. S-TR/(HÍB.),10996,0
AUDI,6,Q8 PERFO. 3.0 TFSI QUATTRO S-TRON/(HÍB.),10997,0
AUDI,6,RS5 SPB. COMPET. PLUS 2.9 QUAT. S-TRONIC,10682,0
AUDI,6,RS5 SPB. C.PLUS TRACK 2.9 QUAT. S-TRONIC,10681,0
AUDI,6,RS5 SPORTBACK 2.9 V6 TFSI QUATTRO TIP.,9247,0
AUDI,6,RS6 4.0 AVANT.PERF TFSI QUAT.TIP.(HIB),11236,0
AUDI,6,RS6 4.0 AVANT TFSI BI-TB QUAT.TIP.(HIB.),10227,0
AUDI,6,RS6 4.2 AVANT BI-TB QUATTRO TIPTRON. 5P,132,0
AUDI,6,RS E-TRON GT QUATTRO AUT. (ELÉTRICO),9606,0
AUDI,6,RS Q3 SPORTBACK 2.5 TFSI QUATTRO S-TRON.,9292,0
AUDI,6,RS Q8 4.0 BI-TB V8 FSI QUATTRO TIPTRONIC,9224,0
AUDI,6,SQ8 SPORTBACK E-TRON QUATTRO (ELÉTRICO),11197,0
AVELLOZ,216,AZ 01 50CC,9409,1
AVELLOZ,216,AZ 125 ALFA,11306,1
AVELLOZ,216,AZ 160 XTREME,11329,1
BAJAJ,64,DOMINAR 160,10380,1
BAJAJ,64,DOMINAR 200,10381,1
BAJAJ,64,DOMINAR 250,11144,1
BAJAJ,64,DOMINAR 400,10382,1
BEE,205,BEE 125CC MONACO,8153,1
BEE,205,BEE 200CC GT,8374,1
BEE,205,MONACO 150CC,8327,1
BEPOBUS,206,NÀSCERE RODOVIARIO (DIESEL)(E6),11091,2
BEPOBUS,206,NÀSCERE URBANO (DIESEL)(E6),11092,2
BMW,7,118I M SPORT 1.5 TB 12V AUT. 5P,9955,0
BMW,7,218I GRAN COUPE M SPORT 1.5 BI-TURBO,11119,0
BMW,7,218I GRAN COUPE SPORT GP 1.5 BI-TURBO,9036,0
BMW,7,320I,161,0
BMW,7,320IA,162,0
BMW,7,320IA 2.0 TURBO/ACTIVEFLEX 16V/GP 4P,6090,0
BMW,7,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,0
BMW,7,325I,179,0
BMW,7,325IA,181,0
BMW,7,330E M SPORT 2.0 TURBO AUT. (HÍBRIDO),9956,0
BMW,7,335I 3.0 ACTIVE 3 (HÍBRIDO),9957,0
BMW,7,420I CABRIOLET M SPORT 2.0 TB 16V 2P.,9785,0
BMW,7,430I CABRIOLET M SPORT 2.0 TB 258CV 2P,9442,0
BMW,7,525I/IA,197,0
BMW,7,528I/IA,199,0
BMW,7,530E LUXURY 2.0 TURBO (HÍBRIDO),9959,0
BMW,7,530E M SPORT 2.0 TURBO AUT. (HÍBRIDO),9960,0
BMW,7,530I/IA,202,0
BMW,7,540I,205,0
BMW,7,540IA,207,0
BMW,7,540ITA,210,0
BMW,7,650IA LIMITED SPORT EDITION 4.8 32V,5057,0
BMW,7,740I,216,0
BMW,7,740IA,217,0
BMW,7,745LE M SPORT SEDAN 3.0 V6 AUT. (HÍB.),9961,0
BMW,7,750I,221,0
BMW,7,750IA,222,0
BMW,7,750ILA 4.4 ACTIVE 7 (HÍBRIDO),9962,0
BMW,7,840CI,225,0
BMW,7,840CIA,226,0
BMW,67,C 400 X,10895,1
BMW,67,C 400 X SPORT,10896,1
BMW,67,F 650,2624,1
BMW,67,F 750 GS PREMIUM,8533,1
BMW,67,F 750 GS PREMIUM 40 ANOS,9570,1
BMW,67,F 750 GS SPORT,8534,1
BMW,67,F 800 GS 895CC,11145,1
BMW,67,F 800 GS PLUS 895CC,11146,1
BMW,67,F 850 GS ADVENTURE PREMIUM,8646,1
BMW,67,F 850 GS ADVENTURE PREMIUM 40 ANOS,9571,1
BMW,67,F 850 GS ADVENTURE SPORT,8647,1
BMW,67,F 850 GS PREMIUM,8535,1
BMW,67,F 850 GS PREMIUM 40 ANOS,10124,1
BMW,67,F 850 GS SPORT,8536,1
BMW,67,F 900 GS,11147,1
BMW,67,F 900 GS ADVENTURE PLUS,11148,1
BMW,67,F 900 GS PLUS,11149,1
BMW,67,F 900 GS TROPHY,11150,1
BMW,67,F 900 GS TROPHY PRO,11151,1
BMW,67,F 900 R SPORT,10383,1
BMW,67,F 900 R SPORT PLUS,10384,1
BMW,67,G 310 GS,8221,1
BMW,7,I3 BEV UN. FOREVER 170CV AUT. (ÉLETRICO),9861,0
BMW,7,I4 E-DRIVE 35 M SPORT (ELÉTRICO),10668,0
BMW,7,I4 E-DRIVE 40 M SPORT (ELÉTRICO),10669,0
BMW,7,I4 M50 (ELÉTRICO),10371,0
BMW,7,I5 M60 (ELÉTRICO),10989,0
BMW,7,I7 XDRIVE 60 M SPORT AUT. (ELÉTRICO),10824,0
BMW,7,I8 E-DRIVE 1.5 TB 12V AUT. (HÍBRIDO),10019,0
BMW,7,I8 ROAD. E-DRIVE 1.5 TB 12V AUT. (HÍB.),10020,0
BMW,7,IX 1 EDRIVE20 X-LINE AUT. (ELÉTRICO),11103,0
BMW,7,IX 1 XDRIVE 30 M SPORT (ELÉTRICO),10755,0
BMW,7,IX 2 XDRIVE 30 M SPORT (ELÉTRICO),11104,0
BMW,7,IX 3 M SPORT AUT.(ELÉTRICO),9910,0
BMW,7,IX M60 (ELÉTRICO),10782,0
BMW,7,IX XDRIVE 40 AUT. (ELÉTRICO),9863,0
BMW,7,IX XDRIVE 50 SPORT AUT. (ELÉTRICO),9864,0
BMW,7,M 135I 3.0 TB 24V 320CV,10784,0
BMW,7,M 135I XDRIVE 2.0 TB 306CV AUT.,10785,0
BMW,7,M140I 3.0 24V 340CV 5P,7823,0
BMW,7,M235I XDRIVE GRAN COUPÉ 2.0 AUT.,9104,0
BMW,7,M2 COMPETITION 3.0 BI-TURBO 410CV AUT.,8439,0
BMW,7,M2 COMPETITION ED. ESPE. 3.0 BI-TB MEC.,9103,0
BMW,7,M2 COUPE 3.0 BI-TURBO 24V 3P,10825,0
BMW,7,M2 COUPE TRACK 3.0 BI-TURBO 24V 460CV 3P,10826,0
BMW,7,M2 CS COUPE 3.0 BI-TURBO 450CV,9339,0
BMW,7,M340I XDRIVE 3.0 TURBO AUT.,9105,0
BMW,7,M340I XDRIVE FIRST ED. 3.0 TURBO AUT.,9094,0
BMW,7,M3 COMPETITION M 3.0 BI-TB 510CV,9482,0
BMW,7,M3 COMPETITION M TRACK 3.0 BI-TB,9483,0
BMW,7,M440I COUPE 3.0 TB AUT.,9524,0
BMW,7,M4 CS COUPE 3.0 BI-TURBO 2P,11268,0
BMW,7,M5 COMPETITION M XDRIVE 4.4 BI-TB V8,9484,0
BMW,7,M8 GRAN COUPÉ COMPETITION 4.4 V8 32V,9525,0
BMW,7,M8 GRAN COUPÉ COMP.FIRST ED. 4.4 V8 32V,9188,0
BMW,7,M ROADSTER,231,0
BMW,67,R 12,11204,1
BMW,67,R 1200 GS ADVENTURE EXCLUSIVE,8328,1
BMW,67,R 1200 GS ADVENTURE RALLYE,8257,1
BMW,67,R 1200 GS EXCLUSIVE,8428,1
BMW,67,R 1250 GS ADVENTURE PREMIUM,8718,1
BMW,67,R 1250 GS ADVENTURE PREMIUM 40 ANOS,9511,1
BMW,67,R 1250 GS ADVENTURE PREMIUM EXCLUSIVE,8719,1
BMW,67,R 1250 GS ADVENTURE PREMIUM HP,8720,1
BMW,67,R 1250 GS ADVENTURE PREMIUM RALLYE,9512,1
BMW,67,R 1250 GS ADVENTURE PREMIUM TRIPLE BLACK,9513,1
BMW,67,R 1250 GS ADVENTURE PREMIUM TROPHY,10385,1
BMW,67,R 1250 GS ADV.PREMIUM TRIPLE BLACK 719,9750,1
BMW,67,R 1250 GS ED. ESPECIAL,9781,1
BMW,67,R 1250 GS PREMIUM 40 ANOS,9514,1
BMW,67,R 1250 GS PREMIUM EXCLUSIVE,8721,1
BMW,67,R 1250 GS PREMIUM HP,8722,1
BMW,67,R 1250 GS PREMIUM RALLYE,9515,1
BMW,67,R 1250 GS PREMIUM TRIPLE BLACK,9516,1
BMW,67,R 1250 GS PREMIUM TRIPLE BLACK 719,10087,1
BMW,67,R 1250 GS PREMIUM TROPHY,10425,1
BMW,67,R 1250 GS SPORT,8723,1
BMW,67,R 1250 RT PREMIUM,9217,1
BMW,67,R 1250 RT PREMIUM SPEZIAL,9218,1
BMW,67,R 12 719,11205,1
BMW,67,R 12 CRUISER,11206,1
BMW,67,R 1300 GS,11026,1
BMW,67,R 1300 GS 719,11027,1
BMW,67,R 1300 GS PLUS,11028,1
BMW,67,R 1300 GS TRIPLE BLACK,11029,1
BMW,67,R 1300 GS TROPHY,11030,1
BMW,67,R 18,10185,1
BMW,67,R 18 100 ANOS,10843,1
BMW,67,S 1000 RR-M,9202,1
BMW,67,S 1000 RR-M CARBON,9519,1
BMW,7,X1 SDRIVE 18I GP 1.5 TB AUT.,10414,0
BMW,7,X1 SDRIVE 20I GP 2.0 TB AUT.,11301,0
BMW,7,X1 SDRIVE 20I M S. 2.0 25 ANOS TB FLEX,9226,0
BMW,7,X1 SDRIVE 20I M SPORT 2.0 TB AUT.,10415,0
BMW,7,X1 SDRIVE 20I M SPORT 2.0 TB FLEX AUT.,9682,0
BMW,7,X1 SDRIVE 20I OUTDOOR 2.0.FLEX AUT.,10115,0
BMW,7,X1 SDRIVE 20I X-LINE 2.0 TB AUT.,10416,0
BMW,7,X2 M35I XDRIVE 2.0 TURBO 317CV AUT.,11282,0
BMW,7,X2 SDRIVE 20I M SP/M SP 2.0 TB FLEX AUT,8277,0
BMW,7,X2 XDRIVE20I M SPORT,11112,0
BMW,7,X3 M40I 3.0 M SPORT EDIT. V6 TURBO AUT.,9881,0
BMW,7,X3 M40I 3.0 TURBO V6 AUT.,9797,0
